DataHora;ValorAtual;MediaMovel5;Variacao;MinJanela5;MaxJanela5;DesvioPadrao5;DiferencaDaMedia;ZScore;AmplitudeJanela
12/06/2026 13:00;14;14.0000;0.0000;14;14;0.0000;0.0000;0.0000;0.0000
12/06/2026 13:01;14.1;14.0500;0.1000;14;14.1;0.0500;0.0500;1.0000;0.1000
12/06/2026 13:02;14;14.0333;-0.1000;14;14.1;0.0471;-0.0333;-0.7071;0.1000
12/06/2026 13:03;14.2;14.0750;0.2000;14;14.2;0.0829;0.1250;1.5076;0.2000
12/06/2026 13:04;14.1;14.0800;-0.1000;14;14.2;0.0748;0.0200;0.2673;0.2000
12/06/2026 13:05;14.3;14.1400;0.2000;14;14.3;0.1020;0.1600;1.5689;0.3000
12/06/2026 13:06;14.2;14.1600;-0.1000;14;14.3;0.1020;0.0400;0.3922;0.3000
12/06/2026 13:07;14.4;14.2400;0.2000;14.1;14.4;0.1020;0.1600;1.5689;0.3000
12/06/2026 13:08;14.3;14.2600;-0.1000;14.1;14.4;0.1020;0.0400;0.3922;0.3000
12/06/2026 13:09;14.5;14.3400;0.2000;14.2;14.5;0.1020;0.1600;1.5689;0.3000
