DataHora;ValorAtual;MediaMovel5;Variacao;MinJanela5;MaxJanela5;DesvioPadrao5;DiferencaDaMedia;ZScore;AmplitudeJanela
12/06/2026 13:00;65;65.0000;0.0000;65;65;0.0000;0.0000;0.0000;0.0000
12/06/2026 13:01;65.1;65.0500;0.1000;65;65.1;0.0500;0.0500;0.9999;0.1000
12/06/2026 13:02;65.2;65.1000;0.1000;65;65.2;0.0816;0.1000;1.2247;0.2000
12/06/2026 13:03;65.1;65.1000;-0.1000;65;65.2;0.0707;0.0000;0.0000;0.2000
12/06/2026 13:04;65.3;65.1400;0.2000;65;65.3;0.1020;0.1600;1.5690;0.3000
12/06/2026 13:05;65.2;65.1800;-0.1000;65.1;65.3;0.0748;0.0200;0.2672;0.2000
12/06/2026 13:06;65.4;65.2400;0.2000;65.1;65.4;0.1020;0.1600;1.5689;0.3000
12/06/2026 13:07;65.3;65.2600;-0.1000;65.1;65.4;0.1020;0.0400;0.3922;0.3000
12/06/2026 13:08;65.5;65.3400;0.2000;65.2;65.5;0.1020;0.1600;1.5689;0.3000
12/06/2026 13:09;65.4;65.3600;-0.1000;65.2;65.5;0.1020;0.0400;0.3922;0.3000
